Display Name,Severity,MITRE Tactics
L-022 Impacket SecretDump Remote Activity,Medium,CredentialAccess
L-023 Overpass The Hash,Medium,"DefenseEvasion, LateralMovement"
L-025 Remote Task Creation via SVCCTL Named Pipe,Medium,"Execution, Persistence, PrivilegeEscalation"
L-029 Suspicious Certutil Encoding,Medium,DefenseEvasion
L-030 Powerview Add-DomainObjectAcl DCSync AD Extend Right,Medium,"CredentialAccess, Persistence"
L-032 Machine detected with Malware and auto-clean failed,Medium,Execution
L-042 MSFS EDL feed hits,Medium,Exfiltration
L-049 VPN Brute force Failures,Medium,CredentialAccess
L-024 Persistence and Execution via GPO Scheduled Task,Medium,"Execution, Persistence, PrivilegeEscalation"
L-026 Same Source Logged In Using Many Accounts,Medium,CredentialAccess
L-028 Potential Process Doppelganging,Low,"DefenseEvasion, PrivilegeEscalation"
L-035 Malware detected by PaloAlto Firewall,Medium,Execution
L-037 Hacking tool detected,Medium,Execution
L-038 Failed authentication PaloAlto,Medium,CredentialAccess
L-040 Suspicious Windows Processes,Medium,"Persistence, PrivilegeEscalation"
L-041 APT33 RULER Tool Detection,Medium,"CommandAndControl, Discovery, Exfiltration"
L-043 Multiple signature triggered for the same IP source,Medium,InitialAccess
L-044 Cisco IOS Smart Install Code Execution Vulnerability,Medium,InitialAccess
L-045 Suspicious download from uncategorized website,Medium,InitialAccess
L-047 Microsoft Remote Desktop Service Remote Code Execution (Bluekeep),Medium,InitialAccess
L-048 Detect Password Dumper Activity on LSASS,Medium,CredentialAccess
L-050 VPN Brute Force Attack followed by Successful Access,Medium,InitialAccess
L-061 Exploit Attempt of F5 BIGIP RCE Vulnerability,Medium,InitialAccess
L-033 Multiple malware infections same malware on different devices,Medium,Execution
L-034 Suspicious downloads to URL contains 'wget',Medium,CommandAndControl
L-072 Suspicious outbound DNS queries,Medium,CommandAndControl
L-019 Windows Scheduled Task Created,Low,"Execution, Persistence"
L-076 MS Exchange Zero Day PaloAlto Threat Signatures,Medium,Execution
L-077 MS Exchange Zero Day Hash IOC observed,Medium,Execution
L-078 MS Exchange Zero Day Suspicious Process Execution,Medium,"Execution, PrivilegeEscalation"
-044 Distributed Password cracking attempts in AzureAD,Medium,CredentialAccess
-027 SecurityEvent - Multiple authentication failures followed by a success,Low,CredentialAccess
-013 Failed logon attempts in authpriv,Medium,CredentialAccess
-020 Potential DGA detected,Medium,CommandAndControl
-024 Rare client observed with high reverse DNS lookup count,Medium,Discovery
-009 DNS events related to ToR proxies,Low,Exfiltration
-045 DNS events related to mining pools,Low,Impact
 -060 Suspicious Resource deployment,Low,Impact
-068 Privileged Threat Analytics Event,Low,CommandAndControl
L-052-Log4j Vulnerabilty Exploit,Medium,InitialAccess
-095 Sailpoint Suspicious Login outside usual hours,Low,InitialAccess
-096 Sailpoint repeated login failures,Low,InitialAccess
-098 Sailpoint High amount of password reset attempts,Low,"CredentialAccess, InitialAccess"
-099 Sailpoint Privileged users identity modified,Low,"Persistence, PrivilegeEscalation"
QC-PRD-SENTINEL- 079-Log4J Outbound Connection To Known Malicious IP,Informational,"CommandAndControl, Exfiltration"
L-017 RDP Over Reverse Tunnel,Medium,CommandAndControl
-089 PIM Elevation Request Rejected,High,Persistence
-029 Suspicious application consent similar to O365 Attack Toolkit,High,"CredentialAccess, DefenseEvasion"
L-008 Vulnerability Exploit related to Solarwinds breach,Medium,InitialAccess
-038 Exchange OAB Virtual Directory Attribute Containing Potential Webshell,High,InitialAccess
L-007 Hack tools from FireEye breach,Medium,CommandAndControl
-071 Security Service Registry ACL Modification,High,DefenseEvasion
