Display Name,Severity,MITRE Tactics,Suggested Technique IDs
L-022 Impacket SecretDump Remote Activity,Medium,CredentialAccess,"T1110, T1539, T1557.004"
L-023 Overpass The Hash,Medium,"DefenseEvasion, LateralMovement","T1550.002, T1075, T1550.003, T1497.001"
L-025 Remote Task Creation via SVCCTL Named Pipe,Medium,"Execution, Persistence, PrivilegeEscalation","T1053.005, T1053, T1028, T1133, T1548.002"
L-029 Suspicious Certutil Encoding,Medium,DefenseEvasion,"T1564.008, T1027.013, T1140"
L-030 Powerview Add-DomainObjectAcl DCSync AD Extend Right,Medium,"CredentialAccess, Persistence","T1003.006, T1161, T1546.006, T1098.003, T1539"
L-032 Machine detected with Malware and auto-clean failed,Medium,Execution,"T1059.010, T1059.002, T1559.002"
L-042 MSFS EDL feed hits,Medium,Exfiltration,
L-049 VPN Brute force Failures,Medium,CredentialAccess,"T1110, T1187, T1110.001"
L-024 Persistence and Execution via GPO Scheduled Task,Medium,"Execution, Persistence, PrivilegeEscalation","T1053.005, T1053, T1569.002, T1183, T1484.001"
L-026 Same Source Logged In Using Many Accounts,Medium,CredentialAccess,"T1556.007, T1556.003, T1557.004"
L-028 Potential Process Doppelganging,Low,"DefenseEvasion, PrivilegeEscalation","T1220, T1564.010, T1093, T1543, T1547.012"
L-035 Malware detected by PaloAlto Firewall,Medium,Execution,"T1674, T1129, T1059.002"
L-037 Hacking tool detected,Medium,Execution,"T1072, T1674, T1053.005"
L-038 Failed authentication PaloAlto,Medium,CredentialAccess,"T1556.003, T1649, T1621"
L-040 Suspicious Windows Processes,Medium,"Persistence, PrivilegeEscalation","T1543.003, T1546.003, T1084, T1037.001"
L-041 APT33 RULER Tool Detection,Medium,"CommandAndControl, Discovery, Exfiltration","T1219, T1105, T1104, T1069.003, T1652"
L-043 Multiple signature triggered for the same IP source,Medium,InitialAccess,"T1195, T1133, T1195.001"
L-044 Cisco IOS Smart Install Code Execution Vulnerability,Medium,InitialAccess,"T1190, T1566, T1566.002"
